ID,JOB,CAR,RACE,SALARY,GENDER,SAV,OFFICER,AGE,RESPONSE
665,7,2,2,78,0,511,2,40,1
666,2,2,2,90,1,544,1,24,0
667,5,2,2,12,0,475,1,70,1
668,11,2,2,54,0,325,1,40,1
669,7,1,2,66,1,520,3,43,0
670,10,2,2,60,1,427,1,45,0
671,7,2,2,52,1,508,4,49,0
672,2,1,2,20,0,262,3,21,0
673,11,1,2,46,1,565,2,47,0
674,4,2,2,70,1,1219,4,22,1
675,1,1,2,21,0,568,3,68,0
676,1,2,2,44,0,427,2,31,1
677,1,2,2,20,0,244,1,53,1
678,1,1,2,53,0,559,2,25,0
679,1,2,2,54,0,580,1,25,1
680,3,2,2,34,1,226,3,23,0
681,3,1,2,56,1,226,2,22,0
682,1,2,2,72,0,988,2,26,1
683,1,1,2,78,1,838,2,22,0
